net,length_um
_0216_,5.16
_0250_,5.16
_0270_,5.16
_0607_,5.16
_0230_,5.14
_0443_,5.14
_0220_,5.12
_0617_,5.12
_0031_,5.085
_0059_,5.085
i_dbus_rdt[26],5.07
_0396_,5.06
net207,5.06
_0424_,5.04
_0111_,5.02
o_dbus_dat[1],4.95
o_ibus_adr[22],4.95
_0050_,4.945
_0619_,4.94
_0226_,4.92
_0609_,4.92
_0621_,4.9
_0206_,4.88
_0570_,4.88
_0083_,4.865
i_ibus_rdt[4],4.85
o_dbus_adr[9],4.85
o_dbus_dat[24],4.85
o_dbus_dat[7],4.85
o_ibus_adr[8],4.85
_0155_,4.845
_0181_,4.8
_0380_,4.8
_0575_,4.8
_0593_,4.8
_0616_,4.8
net175,4.8
_0208_,4.76
_0223_,4.76
_0637_,4.76
_0128_,4.755
i_ibus_rdt[30],4.73
_0028_,4.7
_0135_,4.7
_0591_,4.7
_0195_,4.68
_0048_,4.625
o_dbus_adr[17],4.61
o_dbus_dat[19],4.61
o_dbus_dat[21],4.61
o_dbus_dat[30],4.61
o_dbus_dat[9],4.61
o_ibus_adr[27],4.61
o_raddr[7],4.61
o_raddr[9],4.61
_0566_,4.6
_0430_,4.58
_0471_,4.58
_0490_,4.58
_0497_,4.56
_0025_,4.545
i_dbus_rdt[9],4.49
i_ibus_rdt[27],4.49
i_ibus_rdt[6],4.49
_0239_,4.46
_0638_,4.46
_0095_,4.425
_0573_,4.42
_0120_,4.395
i_timer_irq,4.39
_0052_,4.385
_0201_,4.36
_0538_,4.36
_0180_,4.34
_0205_,4.34
_0511_,4.34
_0603_,4.34
_0467_,4.3
_0033_,4.265
_0022_,4.26
_0173_,4.26
_0068_,4.24
_0302_,4.22
_0041_,4.165
_0037_,4.145
_0023_,4.12
_0146_,4.085
_0133_,4.065
_0078_,4.045
_0154_,4.045
_0489_,4.02
_0197_,4
_0278_,4
_0629_,4
_0164_,3.965
i_dbus_rdt[11],3.93
i_ibus_rdt[21],3.93
i_ibus_rdt[23],3.93
o_dbus_adr[27],3.93
o_ibus_adr[13],3.93
o_ibus_adr[24],3.93
o_wen,3.93
_0042_,3.925
_0106_,3.925
_0001_,3.9
_0273_,3.9
_0548_,3.9
_0229_,3.88
_0235_,3.88
_0378_,3.88
_0476_,3.88
_0580_,3.88
_0119_,3.865
i_dbus_rdt[18],3.81
i_ibus_rdt[9],3.81
_0029_,3.805
_0027_,3.8
_0097_,3.8
_0144_,3.8
_0058_,3.78
_0504_,3.76
_0521_,3.76
_0017_,3.705
_0024_,3.705
_0087_,3.705
_0172_,3.705
_0387_,3.68
_0564_,3.68
_0446_,3.66
_0101_,3.625
_0030_,3.585
net197,3.585
_0282_,3.58
_0277_,3.56
_0491_,3.56
_0249_,3.54
_0336_,3.54
_0556_,3.54
_0588_,3.54
_0604_,3.54
_0618_,3.54
_0644_,3.54
_0441_,3.52
o_dbus_adr[24],3.47
_0019_,3.465
_0043_,3.465
_0062_,3.465
_0084_,3.465
_0090_,3.465
_0098_,3.465
net199,3.465
_0647_,3.44
_0210_,3.42
_0213_,3.42
_0323_,3.42
_0555_,3.42
_0626_,3.42
_0646_,3.42
net180,3.42
net201,3.42
_0009_,3.405
_0074_,3.405
