net,length_um
net256,6.86
_0236_,6.84
_0295_,6.84
net188,6.84
_0160_,6.825
cpu.ctrl.pc_plus_4_cy_r,6.82
net241,6.805
_0569_,6.78
_0563_,6.76
_0064_,6.72
_0541_,6.72
_0638_,6.72
o_dbus_dat[5],6.67
o_dbus_sel[3],6.65
_0040_,6.645
net221,6.645
_0319_,6.64
cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[2\],6.64
net187,6.64
_0508_,6.62
_0282_,6.6
_0649_,6.6
net180,6.6
_0353_,6.58
_0557_,6.52
net272,6.5
_0123_,6.475
o_dbus_adr[21],6.45
_0008_,6.445
i_dbus_rdt[25],6.43
_0434_,6.4
_0129_,6.365
_0218_,6.32
_0180_,6.3
_0559_,6.3
_0608_,6.3
_0609_,6.28
_0096_,6.26
_0406_,6.26
_0573_,6.26
_0605_,6.26
_0113_,6.225
o_dbus_dat[17],6.21
o_dbus_we,6.21
i_dbus_rdt[18],6.19
_0153_,6.185
_0570_,6.18
_0232_,6.14
_0531_,6.14
_0003_,6.025
_0004_,6.025
net247,5.98
i_dbus_rdt[11],5.97
_0051_,5.965
_0474_,5.94
_0168_,5.895
_0497_,5.86
i_ibus_rdt[11],5.85
net229,5.845
_0604_,5.84
_0169_,5.82
_0075_,5.805
_0398_,5.8
_0538_,5.8
_0544_,5.8
net9,5.8
_0237_,5.78
_0026_,5.765
_0110_,5.765
net243,5.765
_0231_,5.74
_0404_,5.74
_0535_,5.74
_0545_,5.74
_0547_,5.74
_0601_,5.74
_0624_,5.74
_0626_,5.74
_0575_,5.72
_0119_,5.7
_0217_,5.68
_0454_,5.68
o_wdata[0],5.65
_0089_,5.62
_0220_,5.62
_0207_,5.6
_0440_,5.6
_0458_,5.6
_0556_,5.6
_0083_,5.58
_0304_,5.56
_0121_,5.545
o_dbus_adr[14],5.53
o_dbus_adr[25],5.53
o_ibus_adr[4],5.53
o_raddr[0],5.53
o_raddr[8],5.53
_0589_,5.52
net227,5.52
i_dbus_rdt[7],5.51
_0628_,5.5
net202,5.5
net199,5.425
_0062_,5.4
_0158_,5.38
net257,5.38
_0381_,5.36
_0593_,5.36
_0016_,5.34
_0032_,5.34
_0052_,5.34
_0191_,5.34
_0239_,5.34
_0376_,5.34
_0005_,5.305
_0030_,5.305
i_ibus_rdt[18],5.29
o_ibus_adr[18],5.29
o_waddr[3],5.29
_0184_,5.26
_0247_,5.26
_0607_,5.26
_0625_,5.26
_0181_,5.22
_0482_,5.22
net238,5.22
i_ibus_rdt[5],5.19
o_dbus_adr[15],5.19
o_dbus_adr[16],5.19
o_dbus_adr[22],5.19
o_ibus_adr[26],5.19
o_ibus_adr[3],5.19
o_waddr[2],5.19
net206,5.185
i_dbus_rdt[9],5.17
_0019_,5.16
_0058_,5.16
_0048_,5.085
_0099_,5.085
net213,5.085
o_dbus_dat[1],4.95
o_ibus_adr[22],4.95
_0193_,4.92
_0477_,4.92
_0548_,4.92
_0598_,4.92
_0409_,4.9
cpu.ctrl.i_jump,4.9
cpu.immdec.gen_immdec_w_eq_1.imm24_20\[2\],4.9
_0177_,4.88
_0343_,4.88
_0622_,4.88
_0633_,4.88
_0148_,4.875
i_ibus_rdt[4],4.85
o_dbus_adr[9],4.85
o_dbus_dat[7],4.85
o_ibus_adr[14],4.85
o_ibus_adr[8],4.85
_0097_,4.845
i_dbus_rdt[1],4.83
_0188_,4.8
_0195_,4.8
_0489_,4.8
_0540_,4.8
_0643_,4.8
net174,4.8
_0620_,4.76
i_ibus_rdt[30],4.73
_0111_,4.725
_0412_,4.7
_0619_,4.66
_0102_,4.625
i_dbus_rdt[19],4.61
i_ibus_rdt[20],4.61
o_dbus_adr[17],4.61
o_dbus_dat[19],4.61
o_dbus_dat[21],4.61
o_dbus_dat[30],4.61
o_dbus_dat[9],4.61
o_raddr[7],4.61
o_raddr[9],4.61
net276,4.6
net278,4.6
_0074_,4.585
_0362_,4.58
i_ibus_rdt[27],4.49
i_ibus_rdt[6],4.49
_0059_,4.485
_0327_,4.48
_0500_,4.48
_0630_,4.48
_0532_,4.46
_0576_,4.46
_0640_,4.46
net237,4.46
_0031_,4.44
_0056_,4.425
i_dbus_rdt[8],4.39
i_timer_irq,4.39
_0053_,4.385
_0130_,4.385
_0140_,4.34
_0354_,4.34
_0533_,4.34
_0615_,4.34
net260,4.34
_0080_,4.295
o_ibus_adr[16],4.27
_0161_,4.24
_0226_,4.24
_0467_,4.22
_0594_,4.22
_0511_,4.2
net259,4.2
_0000_,4.165
i_dbus_rdt[26],4.15
_0446_,4.14
_0471_,4.12
_0014_,4.085
_0047_,4
_0060_,4
_0182_,4
_0246_,4
_0250_,4
_0278_,4
_0470_,4
_0554_,4
_0135_,3.965
_0139_,3.965
i_ibus_rdt[23],3.93
